"sigma_e" "sigma_subject" "sigma_subject:drug" "sigma_subject:time"
"1" 1 1 1 1
"2" 0.560553411111111 0.879474044444445 0.598637911111111 0.541895044444444
"3" 0.345727669907449 0.83463973537289 0.380367841278525 0.316513434753242
"4" 0.243072047029992 0.838539404312566 0.255363564759155 0.202883175020902
"5" 0.194025515137243 0.855872912305517 0.181856199293056 0.144196249420513
"6" 0.171139310534612 0.862976740517091 0.138058206787951 0.11248026306115
"7" 0.161146714600782 0.855528186254385 0.111398531734662 0.094146796510514
"8" 0.157471162787377 0.837943798090416 0.0945535988168786 0.0826740941730953
"9" 0.156809576111173 0.814506998316976 0.0834033943308212 0.0749112744496761
"10" 0.157507169844799 0.787680542286989 0.0756679135919799 0.0692914474665247
"11" 0.158749951941039 0.758759072736072 0.0700699450529694 0.0649988393113373
"12" 0.160150924176595 0.728464401295735 0.0658713059812919 0.0615840033434113
"13" 0.161536013538407 0.697240485105876 0.0626278532454448 0.0587836606541164
"14" 0.162834399301936 0.665386155414808 0.0600608087397168 0.0564339798270215
"15" 0.164023496150311 0.633117701959261 0.0579879480222366 0.0544272304867101
"16" 0.165102070411841 0.600601302930589 0.0562856735842631 0.0526891205452811
"17" 0.166077486555994 0.567971566244245 0.0548673523566873 0.0511663475038865
"18" 0.166959869420465 0.535343069066322 0.0536704745602562 0.0498194053175735
"19" 0.167759565010812 0.502818063268776 0.0526487593417571 0.0486182201585864
"20" 0.168486131788579 0.470491951691427 0.0517671306366566 0.0475393812341122
"21" 0.169148017711758 0.438457424517794 0.0509984137759513 0.0465643124643348
"22" 0.16975252804778 0.406807783263033 0.0503210948863239 0.0456780227117605
"23" 0.170305903476135 0.375639776685844 0.0497177537012824 0.0448682250436237
"24" 0.170813428435979 0.345056143918863 0.0491739317752527 0.0441246987843584
"25" 0.171279536002552 0.315167962688669 0.0486772862774717 0.0434388153914941
"26" 0.17170789692968 0.286096807636543 0.0482169331114726 0.0428031771763658
"27" 0.172101491067914 0.257976613168241 0.0477829180870983 0.04221133529623
"28" 0.172462666483958 0.230954985300096 0.047365781326847 0.0416575651107374
"29" 0.172793199792332 0.205193497848564 0.0469562056771825 0.0411366859370993
"30" 0.173094384116162 0.180866232024535 0.0465447717338048 0.0406439206591487
"31" 0.173367191708651 0.158155504624037 0.0461218867324393 0.0401748003295818
"32" 0.17361258639052 0.137243495205723 0.0456780142053418 0.0397251308464979
"33" 0.173832085496433 0.118298596564028 0.0452043924937112 0.0392910514993667
"34" 0.174028655635665 0.101456219211806 0.0446944427051042 0.0388692211715971
"35" 0.174207898499648 0.0867959116477957 0.0441459255447737 0.0384571500617977
"36" 0.174379165468944 0.0743198477796333 0.0435634896802362 0.0380536303591325
"37" 0.174555791257342 0.0639404193746141 0.0429605962808643 0.0376591070954534
"38" 0.174753448245794 0.0554840397169028 0.042359347623538 0.037275735652609
"39" 0.174986304017327 0.0487126586967742 0.0417872431638582 0.0369069247737571
"40" 0.175262247592908 0.0433565201099088 0.0412715313154946 0.0365564248668953
"41" 0.175579692561465 0.0391471577394515 0.0408334735401758 0.0362273265537351
"42" 0.175927869356043 0.0358416514542101 0.0404849246485848 0.0359214010341742
"43" 0.176290352626333 0.033235058123999 0.0402280884782901 0.0356389755927107
"44" 0.176649780698823 0.0311629323355423 0.0400576106442479 0.0353792277165502
"45" 0.176991633788164 0.029497787266001 0.0399635209826945 0.0351406399900597
"46" 0.177306078046168 0.0281429470199227 0.0399338807406515 0.0349214075630987
"47" 0.177588056754022 0.0270260132286143 0.0399566434008336 0.0347197106453217
"48" 0.177836357772031 0.0260930493811802 0.0400207209075101 0.0345338559699014
"49" 0.178052362702139 0.0253038584665634 0.0401164562548485 0.0343623281065132
"50" 0.178238914764547 0.0246283490677537 0.0402357282978208 0.0342037918977007
"51" 0.178399478769754 0.024043828469738 0.0403718630934968 0.0340570743387012
"52" 0.178537601545294 0.0235330243430468 0.0405194629728975 0.03392114127474
"53" 0.178656610094788 0.0230826530415804 0.0406742151156862 0.0337950756099033
"54" 0.178759471564143 0.0226823868332619 0.0408327095639222 0.0336780590850451
"55" 0.178848751494028 0.0223241077662227 0.0409922785667827 0.0335693576593816
"56" 0.17892662557289 0.0220013659604296 0.0411508599813721 0.0334683098696708
"57" 0.178994916631523 0.0217089834633891 0.0413068833509363 0.0333743174675417
"58" 0.179055140567166 0.021442762029303 0.0414591758016453 0.0332868377575684
"59" 0.179108552581361 0.021199265509001 0.0416068846516568 0.0332053772099919
"60" 0.17915618968069 0.0209756562139728 0.0417494138842478 0.033129486047381
"61" 0.179198907912897 0.0207695706715699 0.0418863720504108 0.0330587535948239
"62" 0.179237414106666 0.0205790244014307 0.0420175295834776 0.0329928042443675
"63" 0.179272292486246 0.0204023382800051 0.0421427838737252 0.0329312939249103
"64" 0.179304026765496 0.0202380811169768 0.0422621307525716 0.032873906995669
"65" 0.179333018374305 0.0200850245179862 0.0423756412790343 0.0328203534996204
"66" 0.179359601433823 0.0199421071395978 0.0424834429157775 0.0327703667261363
"67" 0.179384055027205 0.0198084061827438 0.0425857043385717 0.0327237010413525
"68" 0.179406613235055 0.0196831145072365 0.0426826232499184 0.0326801299518277
"69" 0.179427473330892 0.0195655221423048 0.0427744166716313 0.0326394443724954
"70" 0.179446802466116 0.0194550012578334 0.0428613132772977 0.032601451074241
"71" 0.179464743117446 0.0193509938768584 0.0429435473974438 0.0325659712899542
"72" 0.179481417521995 0.0192530017720954 0.0430213543906161 0.0325328394607962
"73" 0.179496931285321 0.0191605781121556 0.0430949671245059 0.0325019021068369
"74" 0.179511376314683 0.0190733205168753 0.0431646133542519 0.0324730168082461
"75" 0.179524833202363 0.0189908652532343 0.0432305138213889 0.0324460512849494
"76" 0.179537373161362 0.0189128823590433 0.0432928809275759 0.0324208825641287
"77" 0.179549059597157 0.0188390715249117 0.0433519178630592 0.0323973962262199
"78" 0.179559949383909 0.0187691585988816 0.0434078180915121 0.0323754857211502
"79" 0.179570093900965 0.018702892604742 0.0434607651110495 0.0323550517475134
"80" 0.179579539875137 0.0186400431860571 0.043510932426352 0.0323360016882083
"81" 0.179588330065821 0.0185803984046132 0.0435584836794142 0.0323182490967925
"82" 0.17959650382307 0.0185237628352675 0.0436035728968356 0.0323017132294397
"83" 0.179604097543069 0.0184699559097896 0.043646344820148 0.0322863186179498
"84" 0.179611145040846 0.0184188104708126 0.0436869352926991 0.0322719946797552
"85" 0.179617677856267 0.0183701715038634 0.043725471682358 0.032258675361302
"86" 0.179623725506289 0.0183238950209945 0.0437620733239669 0.0322462988115732
"87" 0.179629315693955 0.0182798470740349 0.0437968519692348 0.0322348070828603
"88" 0.179634474482564 0.018237902879142 0.0438299122348004 0.0322241458561963
"89" 0.17963922644182 0.018197946037327 0.04386135204161 0.0322142641891301
"90" 0.179643594771421 0.0181598678380806 0.0438912630406844 0.0322051142837647
"91" 0.179647601406469 0.0181235666352389 0.043919731021859 0.0321966512731923
"92" 0.179651267108204 0.0180889472858983 0.0439468363032693 0.0321888330246506
"93" 0.179654611542895 0.0180559206445635 0.0439726541002714 0.0321816199578952
"94" 0.179657653351099 0.01802440310586 0.0439972548731846 0.0321749748774302
"95" 0.179660410209108 0.0179943161900985 0.044020704653777 0.032168862817379
