"intercept" "drugB" "time2" "time3" "time6" "drugB:time2" "drugB:time3" "drugB:time6"
"1" 0 0 0 0 0 0 0 0
"2" 0.1824 -0.0876000000000002 -0.224 -0.204 -2.97909844941084e-17 0.316 0.148 -0.0899999999999999
"3" 0.276760265008532 -0.0831233197285654 -0.268998536052027 -0.292633480102478 -0.0306808200354731 0.316 0.148 -0.0900000000000001
"4" 0.342274894400398 -0.0795824755835941 -0.299730259071448 -0.353165661807397 -0.0516342675487143 0.316 0.148 -0.0900000000000001
"5" 0.389094213120928 -0.0765871529716975 -0.320810394240817 -0.394687140171307 -0.0660070869823751 0.316 0.148 -0.0900000000000005
"6" 0.424122742705398 -0.0739367345966431 -0.334963434108872 -0.422564339911414 -0.0756568868924124 0.316 0.148 -0.09
"7" 0.45194218590996 -0.0715858479378428 -0.344052514813901 -0.440467074633442 -0.0818539873731146 0.316 0.148 -0.0899999999999995
"8" 0.475560115797762 -0.06957109239651 -0.349562176817647 -0.451319439186275 -0.0856105751029415 0.316 0.148 -0.0899999999999999
"9" 0.496946899176335 -0.067933403299832 -0.352702544638798 -0.45750501216733 -0.0877517349809988 0.316 0.148 -0.0900000000000001
"10" 0.517359420429 -0.0666757234782299 -0.354388840806943 -0.460826504619738 -0.0889014823683706 0.316 0.148 -0.0900000000000001
"11" 0.537554498383344 -0.0657598933483578 -0.355245908148458 -0.462514667565143 -0.0894858464648572 0.316 0.148 -0.09
"12" 0.557954681213787 -0.0651235287379172 -0.355660498720016 -0.463331285357606 -0.0897685218545557 0.316 0.148 -0.0900000000000005
"13" 0.578777562243088 -0.064698791220775 -0.35585240768841 -0.463709287871111 -0.0898993688784611 0.316 0.148 -0.0900000000000004
"14" 0.600127067665239 -0.064424842299281 -0.355937829360839 -0.463877542680441 -0.0899576109278449 0.316 0.148 -0.0900000000000001
"15" 0.622050694447073 -0.0642532154593837 -0.35597454837449 -0.463949868010359 -0.0899826466189703 0.316 0.148 -0.0899999999999999
"16" 0.64457160493401 -0.064148326881331 -0.35598984702537 -0.463980001716638 -0.0899930775172978 0.316 0.148 -0.09
"17" 0.667704799779122 -0.0640855737647805 -0.355996044434427 -0.463992208734477 -0.0899973030234729 0.316 0.148 -0.0900000000000002
"18" 0.691464357163999 -0.0640487121639793 -0.355998491921271 -0.463997029541898 -0.0899989717645034 0.316 0.148 -0.0899999999999998
"19" 0.715866134846752 -0.0640274016649032 -0.355999436369412 -0.463998889818538 -0.0899996157064171 0.316 0.148 -0.0899999999999999
"20" 0.740928349056328 -0.0640152519742273 -0.355999793183932 -0.463999592635016 -0.0899998589890442 0.316 0.148 -0.0899999999999999
"21" 0.766671199206661 -0.0640084094385003 -0.355999925392887 -0.463999853046595 -0.0899999491315137 0.316 0.148 -0.0900000000000003
"22" 0.793116014014655 -0.0640045973747294 -0.355999973508667 -0.463999947820102 -0.0899999819377277 0.316 0.148 -0.0899999999999998
